id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
900;SC-CH-63;Chapecó;Proto_Je;SC;-52.74358269;-27.23981523
901;SC-CH-138;Chapecó;Proto_Je;SC;-52.74337978;-27.25335651
902;SC-CH-107;Chapecó;Proto_Je;SC;-52.7430237;-27.2382878
903;SC-CH-185;Chapecó;Proto_Je;SC;-52.74287508;-27.22420932
904;SC-CH-86;Chapecó;Proto_Je;SC;-52.74282702;-27.23603378
905;SC-CH-43;Chapecó;Proto_Je;SC;-52.74269323;-27.24235354
906;SC-CH-91;Chapecó;Proto_Je;SC;-52.74235559;-27.23558836
907;SC-CH-104;Chapecó;Proto_Je;SC;-52.74213667;-27.2383891
908;SC-CH-42;Chapecó;Proto_Je;SC;-52.74193321;-27.24218248
909;SC-CH-61;Chapecó;Proto_Je;SC;-52.74182037;-27.23947613
910;SC-CH-84;Chapecó;Proto_Je;SC;-52.74161414;-27.23595862
911;SC-CH-96;Chapecó;Proto_Je;SC;-52.74155481;-27.23993073
912;SC-CH-88;Chapecó;Proto_Je;SC;-52.74147447;-27.2354188
913;SC-CH-83;Chapecó;Proto_Je;SC;-52.74082949;-27.23614889
914;SC-CH-81;Chapecó;Proto_Je;SC;-52.74070193;-27.23768487
915;SC-CH-101;Chapecó;Proto_Je;SC;-52.74044506;-27.2380491
916;SC-CH-163;Chapecó;Proto_Je;SC;-52.7401688;-27.23651814
917;SC-CH-95;Chapecó;Proto_Je;SC;-52.73973446;-27.24040465
918;SC-CH-167;Chapecó;Proto_Je;SC;-52.73960226;-27.2422927
919;SC-CH-169;Chapecó;Proto_Je;SC;-52.73905993;-27.24702898
920;SC-CH-166;Chapecó;Proto_Je;SC;-52.7388042;-27.23642678
921;SC-CH-168;Chapecó;Proto_Je;SC;-52.73841639;-27.24395916
922;SC-CH-80;Chapecó;Proto_Je;SC;-52.73823296;-27.23735451
923;SC-CH-94;Chapecó;Proto_Je;SC;-52.73820127;-27.24051396
924;SC-CH-160;Chapecó;Proto_Je;SC;-52.73791172;-27.2381257
925;SC-CH-97;Chapecó;Proto_Je;SC;-52.73765328;-27.24034024
926;SC-CH-161;Chapecó;Proto_Je;SC;-52.73760168;-27.23961881
927;SC-CH-69;Chapecó;Proto_Je;SC;-52.73743708;-27.23682284
928;SC-CH-82;Chapecó;Proto_Je;SC;-52.73738884;-27.23826758
929;SC-CH-41;Chapecó;Proto_Je;SC;-52.73714062;-27.24179074
930;SC-CH-162;Chapecó;Proto_Je;SC;-52.73693129;-27.23936538
931;SC-CH-78;Chapecó;Proto_Je;SC;-52.73661233;-27.23638178
932;SC-CH-40;Chapecó;Proto_Je;SC;-52.73659403;-27.24170726
933;SC-CH-164;Chapecó;Proto_Je;SC;-52.73604721;-27.23835643
934;SC-CH-139;Chapecó;Proto_Je;SC;-52.7353203;-27.2390153
935;SC-CH-79;Chapecó;Proto_Je;SC;-52.73399323;-27.23939278
936;SC-CH-93;Chapecó;Proto_Je;SC;-52.73110516;-27.24069214
937;SC-CH-77;Chapecó;Proto_Je;SC;-52.7310623;-27.23988034
938;SC-CH-92;Chapecó;Proto_Je;SC;-52.72820027;-27.24090855
939;SC-CH-75;Chapecó;Proto_Je;SC;-52.72725644;-27.23929553
940;SC-CH-74;Chapecó;Proto_Je;SC;-52.72549627;-27.23778284
941;SC-CH-71;Chapecó;Proto_Je;SC;-52.72470077;-27.23923678
942;SC-CH-52;Chapecó;Proto_Je;SC;-52.72370158;-27.24123478
943;SC-CH-190;Chapecó;Proto_Je;SC;-52.72359833;-27.2319123
944;SC-CH-72;Chapecó;Proto_Je;SC;-52.72334616;-27.23979502
945;SC-CH-35;Chapecó;Proto_Je;SC;-52.72331279;-27.23762921
946;SC-CH-70;Chapecó;Proto_Je;SC;-52.72271501;-27.23880993
947;SC-CH-191;Chapecó;Proto_Je;SC;-52.72251396;-27.23165487
948;SC-CH-73;Chapecó;Proto_Je;SC;-52.72245456;-27.24025728
949;SC-CH-189;Chapecó;Proto_Je;SC;-52.72081164;-27.2273253
950;SC-CH-34;Chapecó;Proto_Je;SC;-52.71792814;-27.23877849
951;SC-CH-33;Chapecó;Proto_Je;SC;-52.71607464;-27.239072
952;SC-CH-192;Chapecó;Proto_Je;SC;-52.71556174;-27.23130697
953;SC-CH-32;Chapecó;Proto_Je;SC;-52.7136888;-27.23955252
954;SC-CH-195;Chapecó;Proto_Je;SC;-52.71124148;-27.23667611
955;SC-CH-193;Chapecó;Proto_Je;SC;-52.71010591;-27.23307058
956;SC-CH-28;Chapecó;Proto_Je;SC;-52.70984495;-27.23978004
957;SC-CH-196;Chapecó;Proto_Je;SC;-52.70871874;-27.24009164
958;SC-CH-23;Chapecó;Proto_Je;SC;-52.70833974;-27.24106204
959;SC-CH-29;Chapecó;Proto_Je;SC;-52.70777756;-27.24061761
960;SC-CH-31;Chapecó;Proto_Je;SC;-52.70755727;-27.24007874
961;SC-CH-27;Chapecó;Proto_Je;SC;-52.70701392;-27.24152951
962;SC-CH-159;Chapecó;Proto_Je;SC;-52.70533664;-27.25139725
963;SC-CH-22;Chapecó;Proto_Je;SC;-52.70513877;-27.24173288
964;SC-CH-150;Chapecó;Proto_Je;SC;-52.70298904;-27.26435097
965;SC-CH-151;Chapecó;Proto_Je;SC;-52.70288973;-27.2657873
966;SC-CH-21;Chapecó;Proto_Je;SC;-52.70280927;-27.24194176
967;SC-CH-153;Chapecó;Proto_Je;SC;-52.70280887;-27.26975969
968;SC-CH-154;Chapecó;Proto_Je;SC;-52.70240674;-27.27253555
969;SC-CH-24;Chapecó;Proto_Je;SC;-52.70231043;-27.24167704
970;SC-CH-37;Chapecó;Proto_Je;SC;-52.70206659;-27.24556117
971;SC-CH-152;Chapecó;Proto_Je;SC;-52.70183382;-27.25879603
972;SC-CH-156;Chapecó;Proto_Je;SC;-52.70151193;-27.2754618
973;SC-CH-38;Chapecó;Proto_Je;SC;-52.70134473;-27.24457709
974;SC-CH-149;Chapecó;Proto_Je;SC;-52.70114603;-27.27796643
975;SC-CH-36;Chapecó;Proto_Je;SC;-52.70081647;-27.24503481
976;SC-CH-25;Chapecó;Proto_Je;SC;-52.70080196;-27.2414246
977;SC-CH-147;Chapecó;Proto_Je;SC;-52.69954843;-27.27852741
978;SC-CH-157;Chapecó;Proto_Je;SC;-52.69924264;-27.27768269
979;SC-CH-15;Chapecó;Proto_Je;SC;-52.69816358;-27.24190793
980;SC-CH-148;Chapecó;Proto_Je;SC;-52.69749556;-27.27970766
981;SC-CH-18;Chapecó;Proto_Je;SC;-52.69661644;-27.24310006
982;SC-CH-13;Chapecó;Proto_Je;SC;-52.69654303;-27.24824575
983;SC-CH-19;Chapecó;Proto_Je;SC;-52.69638508;-27.24382494
984;SC-CH-146;Chapecó;Proto_Je;SC;-52.69627568;-27.2818616
985;SC-CH-14;Chapecó;Proto_Je;SC;-52.69584993;-27.24915674
986;SC-CH-12;Chapecó;Proto_Je;SC;-52.6952754;-27.25322539
987;SC-CH-11;Chapecó;Proto_Je;SC;-52.69500758;-27.25088188
988;SC-CH-08;Chapecó;Proto_Je;SC;-52.69455223;-27.26081595
989;SC-CH-145;Chapecó;Proto_Je;SC;-52.69404985;-27.28163585
990;SC-CH-10;Chapecó;Proto_Je;SC;-52.69309587;-27.24801671
991;SC-CH-09;Chapecó;Proto_Je;SC;-52.69247372;-27.25028073
992;SC-CH-144;Chapecó;Proto_Je;SC;-52.6924677;-27.27722327
993;SC-CH-06;Chapecó;Proto_Je;SC;-52.69219332;-27.25777567
994;SC-CH-05;Chapecó;Proto_Je;SC;-52.69200449;-27.25931237
995;SC-CH-07;Chapecó;Proto_Je;SC;-52.69102604;-27.25472095
996;SC-CH-141;Chapecó;Proto_Je;SC;-52.6905882;-27.27584698
997;SC-CH-16;Chapecó;Proto_Je;SC;-52.68984033;-27.24309176
998;SC-CH-17;Chapecó;Proto_Je;SC;-52.68953224;-27.24408834
999;SC-CH-01;Chapecó;Proto_Je;SC;-52.6890788;-27.25952823
1000;SC-CH-04;Chapecó;Proto_Je;SC;-52.68875767;-27.25231133
1001;SC-CH-140;Chapecó;Proto_Je;SC;-52.68867233;-27.27072533
1002;SC-CH-02;Chapecó;Proto_Je;SC;-52.68861345;-27.26215138
1003;SC-CH-20;Chapecó;Proto_Je;SC;-52.68861321;-27.24274553
1004;SC-CH-143;Chapecó;Proto_Je;SC;-52.68843359;-27.27403449
1005;SC-CH-03;Chapecó;Proto_Je;SC;-52.68703788;-27.26081648
